book;code;text;never_main;gender
NCSP;JAL00;Biopsi av peritoneum;;
NCSP;JAL01;Laparoskopisk biopsi av peritoneum;;
NCSP;JAL10;Laparotomi og fjerning av fremmedlegeme;;
NCSP;JAL11;Laparoskopi og fjerning av fremmedlegeme;;
NCSP;JAL20;Ekstirpasjon eller destruksjon av lesjon i peritoneum;;
NCSP;JAL21;Laparoskopisk ekstirp el destruksjon av lesjon i peritoneum;;
NCSP;JAL23;Eksisjon av lokal lesjon i bekkenvegg;;
NCSP;JAL24;Laparoskopisk eksisjon av lokal lesjon i bekkenvegg;;
NCSP;JAL30;Omentektomi;;
NCSP;JAL31;Laparoskopisk omentektomi;;
NCSP;JAL50;Intraabdominal revisjon av hjerneventrikkelshunt;;
NCSP;JAL51;Laparoskopisk revisjon av hjerneventrikkelshunt;;
NCSP;JAL96;Annet lokalt inngrep i peritoneum;;
NCSP;JAL97;Annet laparoskopisk lokalt inngrep i peritoneum;;
NCSP;JAM00;Transposisjon av oment;;
NCSP;JAM10;Operasjon for malrotasjon av tarm;;
NCSP;jan.00;Anleggelse av peritoneovenøs shunt;;
NCSP;jan.10;Revisjon av peritoneovenøs shunt;;
NCSP;jan.20;Fjerning av peritoneovenøs shunt;;
NCSP;JAP00;Adheranseløsning i bukhulen;;
NCSP;JAP01;Laparoskopisk adheranseløsning i bukhulen;;
NCSP;JAQ00;Ekstensiv eksisjon av peritoneum;;
NCSP;JAQ10;Intraop hyperterm perfusjon av bukhulen med kjemoterapeutika;;
NCRP;JAS10K;Skifte av peritonealt kateter inkl dialysekateter, UL-veil;;
NCRP;JAS23K;Skifte av kateter ved intraperitoneal abscess;;
NCSP;JAW96;Annen operasjon på bukvegg, peritoneum, mesenterium el oment;;
NCSP;JAW97;Annen laparoskop op bukvegg, peritoneum, mesenterium oment;;
NCSP;JAX00;Punksjon av peritoneum;;
NCSP;JAX10;Laparocentese;;
NCSP;JAX20;Perkutan peritoneal lavage;;
NCSP;JAX30;Perkutan innlegging av peritonealt dialysekateter;;
NCSP;JAX33;Fjerning av peritonealt dialysekateter;;
NCSP;JAX40;Perkutan lokal drenasje av peritonealhulen;;
NCSP;JAX50;Innlegging av peritoneal injeksjonsport;;
NCSP;JAX53;Fjerning av peritoneal injeksjonsport;;
NCSP;JBA00;Transabdominal rekonstruksjon av diafragma ved ruptur;;
NCSP;JBA01;Laparoskopisk rekonstruksjon av diafragma ved ruptur;;
NCSP;JBA10;Transabdominal biopsi eller lokal ekstirpasjon i diafragma;;
NCSP;JBA11;Laparoskopisk biopsi eller lokal ekstirpasjon i diafragma;;
NCSP;JBA20;Transabdominal reseksjon av diafragma;;
NCSP;JBA21;Laparoskopisk reseksjon av diafragma;;
NCSP;JBB00;Operasjon for paraøsofagealt hernie;;
NCSP;JBB01;Laparoskopisk operasjon for paraøsofagealt hernie;;
NCSP;JBB10;Operasjon for medfødt diafragmahernie;;
NCSP;JBB11;Laparoskopisk operasjon for medfødt diafragmahernie;;
NCSP;JBB96;Operasjon for annet diafragmahernie;;
NCSP;JBB97;Laparoskopisk operasjon for annet diafragmahernie;;
NCSP;JBC00;Gastroøsofageal antirefluksoperasjon;;
NCSP;JBC01;Laparoskopisk gastroøsofageal antirefluksoperasjon;;
NCSP;JBC02;Transluminal endoskopisk gastroøsofageal antirefluksop;;
NCSP;JBW96;Annen transabd op diafragma el gastro-oesofageal reflux;;
NCSP;JBW97;Ann laparoskop op diafragma el laparosk/torakosk op g-ø refl;;
NCSP;JCA00;Øsofagotomi;;
NCSP;JCA01;Torakoskopisk el laparoskopisk lokal ekstirpasjon i øsof;;
NCSP;JCA05;Endoskopisk polypektomi i øsofagus;;
NCSP;JCA08;Endoskopisk fjerning av fremmedlegeme fra øsofagus;;
NCSP;JCA12;Endoskopisk divertikuloøsofagostomi;;
NCSP;JCA20;Ligatur av øsofagusvaricer;;
NCSP;JCA22;Endoskopisk ligatur av øsofagusvaricer;;
NCSP;JCA32;Endoskopisk injeksjon i øsofagus;;
NCSP;JCA35;Endoskopisk kontaktkoagulasjon i øsofagus;;
NCSP;JCA38;Endoskopisk laserterapi i øsofagus;;
NCSP;JCA42;Annet endoskopisk hemostaseinngrep i øsofagus;;
NCSP;JCA45;Endoskopisk reseksjon av mucosa og submucosa i spiserør;;
NCSP;JCA52;Annet endoskopisk inngrep med diatermi el varme i øsofagus;;
NCSP;JCA55;Endoskopisk dilatasjon av øsofagus;;
NCSP;JCA60;Transcervikal eksisjon av øsofagusdivertikkel;;
NCSP;JCA96;Annet lokalt inngrep på øsofagus;;
NCSP;JCA97;Annet torakoskopisk el laparoskopisk lokal op på øsofagus;;
NCSP;JCA98;Annet transluminal endoskopisk lokalt inngrep på øsofagus;;
NCSP;JCB00;Øsofagostomi;;
NCSP;JCB01;Torakoskopisk eller laparoskopisk øsofagostomi;;
NCSP;JCC00;Transhiatal øsofagusreseksjon uten interposisjon;;
NCSP;JCC10;Transtorakal øsofagusreseksjon uten interposisjon;;
NCSP;JCC11;Torakoskopisk eller laparoskopisk øsofagusreseksjon;;
NCSP;JCC20;Transhiatal øsofagusreseksjon med interposisjon av tarm;;
NCSP;JCC30;Transtorakal øsofagusreseksjon med interposisjon av tarm;;
NCSP;JCC96;Annen øsofagusreseksjon;;
NCSP;JCC97;Annen torakoskopisk eller laparoskopisk øsofagusreseksjon;;
NCSP;JCD00;Subkutan øsofagusanastomose uten interposisjon;;
NCSP;JCD03;Subkutan øsofagusanastomose med interposisjon av tarm;;
NCSP;JCD10;Intratorakal øsofagusanastomose uten interposisjon;;
NCSP;JCD11;Torakoskopisk el laparoskop øsofagusanastomose u/interpos;;
NCSP;JCD13;Intratorakal øsofagusanastomose med interposisjon av tarm;;
NCSP;JCD20;Transseksjon av øsofagus;;
NCSP;JCD96;Annen øsofagusanastomose;;
NCSP;JCD97;Annen torakoskopisk eller laparoskopisk øsofagusanastomose;;
NCSP;JCE00;Sutur av øsofagus;;
NCSP;JCE01;Torakoskopisk eller laparoskopisk sutur av øsofagus;;
NCSP;JCE10;Plastisk operasjon for kardiastenose;;
NCSP;JCE20;Kardiomyotomi;;
NCSP;JCE21;Laparoskopisk kardiomyotomi;;
NCSP;JCE30;Op for øsofagusatresi eller medfødt tracheo-øsofageal fistel;;
NCSP;JCE33;Lukking erhvervet trakeo-øsofageal el bronko-øsofag fistel;;
NCSP;JCE40;Rekonstruksjon av øsofagus med lapp;;
NCSP;JCE50;Rekonstr av øsofagus med fritt mikrovaskulært tarmtranspl;;
NCSP;JCE96;Annen rekonstruksjon av øsofagus;;
NCSP;JCE97;Annen torakoskopisk eller laparoskopisk rekonstr av øsofagus;;
NCSP;JCF00;Åpen innlegging av øsofagusstent;;
NCSP;JCF12;Endoskopisk innlegging av øsofagusstent;;
NCMP;JCFE20;Elektromyografi (EMG) i øsofagus;;
NCMP;JCFM00;Øsofagusmanometri med provokasjonstest (ballong o.a.);;
NCMP;JCFM89;Øsofagusmanometri INA;;
NCMP;JCFX10;pH-måling i øsofagus;;
NCRP;JCP12A;Dilatasjon av øsofagus;;
NCRP;JCQ22A;Innlegging av stent i øsofagus;;
NCSP;JCW96;Annen operasjon på øsofagus;;
NCSP;JCW97;Annen laparoskopisk el torakoskopisk operasjon på øsofagus;;
NCSP;JCW98;Annet transluminalt endoskopisk inngrep på øsofagus;;
NCSP;JCX00;Nedlegging av ballongsonde for blødende øsofagusvaricer;;
NCSP;JDA00;Gastrotomi;;
NCSP;JDA05;Endoskopisk polypektomi i ventrikkel eller pylorus;;
NCSP;JDA08;Endoskopisk fjerning av fremmedlegeme ventrikkel el pylorus;;
NCSP;JDA12;Endoskopisk innlegging av stent i ventrikkel;;
NCSP;JDA22;Endoskopisk ligatur av ventrikkelvaricer;;
NCSP;JDA32;Endoskopisk injeksjon i ventrikkel eller pylorus;;
NCSP;JDA35;Endoskopisk kontaktkoagulasjon i ventrikkel eller pylorus;;
NCSP;JDA38;Endoskopisk laserterapi i ventrikkel eller pylorus;;
NCSP;JDA42;Annet endoskopisk hemostaseinngrep i ventrikkel el pylorus;;
NCSP;JDA45;Endoskopisk resek mucosa/submucosa i ventrikkel el pylorus;;
NCSP;JDA52;Annen endoskop op m/diatermi el varme i ventrikkel/pylorus;;
NCSP;JDA55;Endoskopisk dilat ventrikkel, pylorus, ventrikkelanastomose;;
NCSP;JDA60;Gastrorafi;;
NCSP;JDA61;Laparoskopisk gastrorafi;;
NCSP;JDA63;Lokal ekstirpasjon i ventrikkel;;
NCSP;JDB00;Gastrostomi;;
NCSP;JDB01;Laparoskopisk gastrostomi;;
NCSP;JDB10;Perkutan gastrostomi;;
NCSP;JDC00;Ventrikkelreseksjon med gastroduodenostomi;;
NCSP;JDC10;Ventrikkelreseksjon med gastroenterostomi;;
NCSP;JDC11;Laparoskopisk ventrikkelreseksjon med gastroenterostomi;;
NCSP;JDC20;Ventrikkelreseksjon med Roux-en-Y gastroenterostomi;;
NCSP;JDC30;Ventrikkelreseksjon med jejunum-interposisjon;;
NCSP;JDC40;Kardiareseksjon med øsofagogastrostomi;;
NCSP;JDC96;Ventrikkelreseksjon med annen rekonstruksjon;;
NCSP;JDC97;Laparoskopisk ventrikkelreseksjon med annen rekonstruksjon;;
NCSP;JDD00;Total gastrektomi med Roux-en-Y øsofagojejunostomi;;
NCSP;JDD01;Laparosk tot gastrektomi med øsofagojejunostomi (Roux-en-Y);;
NCSP;JDD96;Total gastrektomi med annen rekonstruksjon;;
NCSP;JDE00;Gastroenterostomi;;
NCSP;JDE01;Laparoskopisk gastroenterostomi;;
NCSP;JDE10;Konvertering av gastroenterostomi til Roux-en-Y anastomose;;
NCSP;JDE20;Konvert gastr-enterostomi til g-duodenost m/jejunum-interpos;;
NCSP;JDE96;Annen ventrikkelanastomose uten samtidig reseksjon;;
NCSP;JDF00;Gastroplastikk;;
NCSP;JDF01;Laparoskopisk gastroplastikk;;
NCSP;JDF10;Gastrisk bypass;;
NCSP;JDF11;Laparoskopisk gastrisk bypass;;
NCSP;JDF20;Gastrisk banding;;
NCSP;JDF21;Laparoskopisk gastrisk banding;;
NCSP;JDF32;Endoskopisk nedl av ekspanderende fremmedlegeme i ventrikkel;;
NCSP;JDF40;Gastrisk sleeve;;
NCSP;JDF41;Laparoskopisk gastrisk sleeve;;
NCSP;JDF96;Annen voluminnskrenkende operasjon på ventrikkel;;
NCSP;JDF97;Annen laparoskopisk voluminnskrenkende op på ventrikkel;;
NCSP;JDF98;Annen translum endoskopisk voluminnskrenkende op ventrikkel;;
NCMP;JDFX00;Urea utventilasjonstest, diagnostikk av Helicobacter pylori;;
NCMP;JDFX10;Måling av magetømmingshastighet for væske;;
NCMP;JDFX11;Måling av magetømmingshastighet for fast føde;;
NCSP;JDG00;Trunkal vagotomi;;
NCSP;JDG01;Laparoskopisk eller torakoskopisk trunkal vagotomi;;
NCSP;JDG10;Proksimal gastrisk vagotomi;;
NCSP;JDG11;Laparoskopisk proksimal gastrisk vagotomi;;
NCSP;JDG96;Annen vagotomi;;
NCSP;JDG97;Annen laparoskopisk vagotomi;;
NCMP;JDGX00;Ventrikkelskylling;;
NCSP;JDH00;Duodenotomi;;
NCSP;JDH05;Endoskopisk polypektomi i duodenum;;
NCSP;JDH08;Endoskopisk fjerning av fremmedlegeme fra duodenum;;
NCSP;JDH15;Endoskopisk injeksjon i duodenum;;
NCSP;JDH18;Endoskopisk kontaktkoagulasjon i duodenum;;
NCSP;JDH22;Endoskopisk laserterapi i duodenum;;
NCSP;JDH25;Annet endoskopisk hemostaseinngrep i duodenum;;
NCSP;JDH28;Annen endoskopisk op med diatermi eller varme i duodenum;;
NCSP;JDH32;Endoskopisk dilatasjon av duodenum;;
NCSP;JDH35;Endoskopisk innlegging av stent i duodenum;;
NCSP;JDH40;Duodenostomi på bulbus;;
NCSP;JDH41;Laparoskopisk duodenostomi på bulbus;;
NCSP;JDH50;Lokal ekstirpasjon i bulbus duodeni;;
NCSP;JDH52;Endoskopisk reseksjon av mucosa og submucosa i duodenum;;
NCSP;JDH60;Pyloromyotomi;;
NCSP;JDH61;Laparoskopisk pyloromyotomi;;
NCSP;JDH63;Pylorusplastikk;;
NCSP;JDH70;Duodenorafi;;
NCSP;JDH71;Laparoskopisk duodenorafi;;
NCRP;JDQ12A;Perkutan innlegging av stent i duodenum;;
NCSP;JDW96;Annen operasjon på ventrikkel eller bulbus duodeni;;
NCSP;JDW97;Annen laparoskopisk op på ventrikkel eller bulbus duodeni;;
NCSP;JDW98;Annen transluminalt endoskopisk op på ventrikkel el duodenum;;
NCSP;JDX00;Nedlegging av nasogastrisk eller nasogastroduodenal sonde;;
NCSP;JDX10;Nedlegging av annen sonde i ventrikkel eller duodenum;;
NCSP;JDX20;Skifte av gastrostomikateter;;
NCSP;JEA00;Appendektomi;;
NCSP;JEA01;Laparoskopisk appendektomi;;
NCSP;JEA10;Appendektomi med drenasje;;
NCSP;JEW96;Annen operasjon på appendiks;;
NCSP;JEW97;Annen laparoskopisk operasjon på appendiks;;
NCSP;JFA00;Enterotomi;;
NCSP;JFA02;Endoskopisk fjerning av fremmedlegeme fra tynntarm;;
NCSP;JFA05;Endoskopisk polypektomi i tynntarm;;
NCSP;JFA10;Kolotomi;;
NCSP;JFA12;Endoskopisk fjerning av fremmedlegeme fra colon;;
NCSP;JFA15;Endoskopisk polypektomi i colon;;
NCSP;JFA16;Biopsi av kolonvegg uten kolotomi;;
NCSP;JFA17;Laparoskopisk biopsi av kolonvegg uten kolotomi;;
NCSP;JFA22;Endoskopisk injeksjon i tynntarm;;
NCSP;JFA25;Endoskopisk kontaktkoagulasjon i tynntarm;;
NCSP;JFA28;Endoskopisk laserterapi i tynntarm;;
NCSP;JFA32;Annet endoskopisk hemostaseinngrep i tynntarm;;
NCSP;JFA35;Annet endoskopisk inngrep med diatermi el varme i tynntarm;;
NCSP;JFA38;Endoskopisk dilatasjon av tynntarm;;
NCSP;JFA42;Endoskopisk injeksjon i colon;;
NCSP;JFA45;Endoskopisk kontaktkoagulasjon i colon;;
NCSP;JFA48;Endoskopisk laserterapi i colon;;
NCSP;JFA52;Annet endoskopisk hemostaseinngrep i colon;;
NCSP;JFA55;Annet endoskopisk inngrep med diatermi eller varme i colon;;
NCSP;JFA58;Endoskopisk dilatasjon av colon;;
NCSP;JFA60;Strikturoplastikk i tynntarm;;
NCSP;JFA63;Strikturoplastikk i colon;;
NCSP;JFA65;Endoskopisk innlegging av stent i tynntarm;;
NCSP;JFA68;Endoskopisk innlegging av stent i colon;;
NCSP;JFA70;Enterorafi;;
NCSP;JFA71;Laparoskopisk enterorafi;;
NCSP;JFA73;Lokal ekstirpasjon i tynntarm;;
NCSP;JFA74;Laparoskopisk lokal ekstirpasjon i tynntarm;;
NCSP;JFA76;Lukking av tynntarmsfistel;;
NCSP;JFA80;Kolorafi;;
NCSP;JFA81;Laparoskopisk kolorafi;;
NCSP;JFA83;Lokal ekstirpasjon i colon;;
NCSP;JFA84;Laparoskopisk lokal ekstirpasjon i colon;;
NCSP;JFA85;Endoskopisk reseksjon av mucosa og submucosa i colon;;
NCSP;JFA86;Lukking av kolonfistel;;
NCSP;JFA96;Annet lokalt inngrep på tarm;;
NCSP;JFA97;Annet laparoskopisk lokalt inngrep på tarm;;
NCSP;JFA98;Annet transluminalt endoskopisk lokalt inngrep på tarm;;
NCSP;JFB00;Tynntarmsreseksjon;;
NCSP;JFB01;Laparoskopisk tynntarmsreseksjon;;
NCSP;JFB10;Reversering av tynntarmssegment;;
NCSP;JFB13;Forlengelsesplastikk på tynntarm;;
NCSP;JFB20;Ileocøkal reseksjon;;
NCSP;JFB21;Laparoskopisk ileocøkal reseksjon;;
NCSP;JFB30;Høyresidig hemikolektomi;;
NCSP;JFB31;Laparoskopisk høyresidig hemikolektomi;;
NCSP;JFB33;Annen reseksjon som omfatter tynntarm og colon;;
NCSP;JFB34;Annen laparoskopisk reseksjon som omfatter tynntarm og colon;;
NCSP;JFB40;Reseksjon av colon transversum;;
NCSP;JFB41;Laparoskopisk reseksjon av colon transversum;;
NCSP;JFB43;Venstresidig hemikolektomi;;
NCSP;JFB44;Laparoskopisk venstresidig hemikolektomi;;
NCSP;JFB46;Reseksjon av colon sigmoideum;;
NCSP;JFB47;Laparoskopisk reseksjon av colon sigmoideum;;
NCSP;JFB50;Annen kolonreseksjon;;
NCSP;JFB51;Annen laparoskopisk kolonreseksjon;;
NCSP;JFB53;Reseksjon av colon sigmoideum med rektumreseksjon;;
NCSP;JFB54;Laparoskopisk sigmoideumreseksjon med rektumreseksjon;;
NCSP;JFB60;Reseksjon av colon sigmoideum med terminal kolostomi;;
NCSP;JFB61;Laparosk reseksj sigmoid m/terminal kolostomi & dist lukking;;
NCSP;JFB63;Annen reseksj av kolon m/terminal kolostomi & distal lukking;;
NCSP;JFB64;Ann laparosk reseksj kolon m/terminal kolostomi & dist lukk;;
NCSP;JFB96;Annen tarmreseksjon;;
NCSP;JFB97;Annen laparoskopisk tarmreseksjon;;
NCSP;JFC00;Enteroenterostomi;;
NCSP;JFC01;Laparoskopisk enteroenterostomi;;
NCSP;JFC10;Ileotransversostomi;;
NCSP;JFC11;Laparoskopisk ileotransversostomi;;
NCSP;JFC20;Annen enterokolostomi;;
NCSP;JFC21;Annen laparoskopisk enterokolostomi;;
NCSP;JFC30;Kolokolostomi;;
NCSP;JFC31;Laparoskopisk kolokolostomi;;
NCSP;JFC40;Ileorektostomi;;
NCSP;JFC41;Laparoskopisk ileorektostomi;;
NCSP;JFC50;Kolorektostomi;;
NCSP;JFC51;Laparokopisk kolorektostomi;;
NCSP;JFD00;Jejunoileal shunt;;
NCSP;JFD03;Duodenoileal bypass med biliopankreatisk avledning;;
NCSP;JFD04;Laparoskopisk duodenoileal bypass m/ biliopankreatisk avledn;;
NCSP;JFD10;Revisjon av jejunoileal shunt;;
NCSP;JFD13;Revisjon av duodenoileal bypass;;
NCSP;JFD20;Tilbakekobling av jejunoileal shunt;;
NCSP;JFD23;Tilbakekobling av duodenoileal bypass;;
NCSP;JFD96;Annen tarmshuntoperasjon;;
NCSP;JFE00;Tynntarmstransplantasjon;;
NCSP;JFE96;Annen operasjon tilknyttet tynntarmstransplantasjon;;
NCSP;JFF00;Kateterenterostomi;;
NCSP;JFF01;Laparoskopisk kateterenterostomi;;
NCSP;JFF10;Bøyleenterostomi;;
NCSP;JFF11;Laparoskopisk bøyleenterostomi;;
NCSP;JFF13;Terminal enterostomi;;
NCSP;JFF16;Konvertering av ileoanal anastomose til ileostomi;;
NCSP;JFF20;Cøkostomi;;
NCSP;JFF21;Laparoskopisk cøkostomi;;
NCSP;JFF23;Transversostomi;;
NCSP;JFF24;Laparoskopisk transversostomi;;
NCSP;JFF26;Sigmoidostomi;;
NCSP;JFF27;Laparoskopisk sigmoidostomi;;
NCSP;JFF30;Annen kolostomi;;
NCSP;JFF31;Annen laparoskopisk kolostomi;;
NCSP;JFF40;Appendicostomi;;
NCSP;JFF41;Laparoskopisk appendicostomi;;
NCSP;JFF50;Fremlegging av kolonslynge uten åpning;;
NCSP;JFF51;Laparoskopisk fremlegging av kolonslynge uten åpning;;
NCSP;JFF60;Åpning av fremlagt kolonslynge;;
NCSP;JFF96;Annen fremlegging av tarm eller anleggelse av tarmstomi;;
NCSP;JFF97;Annen laparoskop framlegg av tarm el anleggelse av tarmstomi;;
NCMP;JFFX20;Laktosemalabsorpsjonstest;;
NCMP;JFFX21;Fruktosemalabsorpsjonstest;;
NCMP;JFFX30;Triolein pusteprøve for diagnostikk av fettmalabsorpsjon;;
NCMP;JFFX40;Hydrogengassanalyse i ekspir.luft v/bakter. overvekst i tarm;;
NCSP;JFG00;Lukking av bøyleenterostomi uten reseksjon;;
NCSP;JFG10;Lukking av bøylekolostomi uten reseksjon;;
NCSP;JFG20;Lukking av enterostomi med reseksjon av fremlagt bøyle;;
NCSP;JFG23;Lukking av endeenterostomi med anastomose til tynntarm;;
NCSP;JFG26;Lukking av endeenterostomi med anastomose til colon;;
NCSP;JFG29;Lukking av endeenterostomi med anastomose til rectum;;
NCSP;JFG30;Lukking av kolostomi med reseksjon av fremlagt bøyle;;
NCSP;JFG33;Lukking av endekolostomi med anastomose til colon;;
NCSP;JFG36;Lukking av endekolostomi med anastomose til rectum;;
NCSP;JFG40;Revisjon av enterostomi eller kolostomi uten laparotomi;;
NCSP;JFG50;Laparotomi med revisjon av enterostomi eller kolostomi;;
NCSP;JFG53;Revisjon av ileoanalt eller ileorektalt reservoar;;
NCSP;JFG56;Revisjon av koloanalt eller kolorektalt reservoar;;
NCSP;JFG60;Konvert av konvensjonell ileostomi til kontinent ileostomi;;
NCSP;JFG70;Konvert av kontinent ileostomi til konvensjonell ileostomi;;
NCSP;JFG73;Eksisjon av ileoanalt eller ileorektalt reservoar;;
NCSP;JFG76;Eksisjon kolonreservoar m/koloanal el kolorektal anastomose;;
NCSP;JFG80;Eksisjon ileumreservoar m/anleggelse ny kontinent ileostomi;;
NCSP;JFG83;Eksisjon av kolonreservoar med anleggelse av nytt reservoar;;
NCSP;JFG86;Exisj ileoanal el ileorektalt reservoar m/anl nytt reservoar;;
NCSP;JFG96;Annen operasjon på tarmstomi eller reservoar;;
NCMP;JFGX00;Instillasjon av oppslemmet fæces i tarm;;
NCSP;JFH00;Total kolektomi og ileorektal anastomose;;
NCSP;JFH01;Laparoskopisk total kolektomi og ileorektal anastomose;;
NCSP;JFH10;Total kolektomi og ileostomi;;
NCSP;JFH11;Laparoskopisk total kolektomi og ileostomi;;
NCSP;JFH20;Proktokolektomi og ileostomi;;
NCSP;JFH30;Proktokolektomi og ileoanal anastomose uten ileostomi;;
NCSP;JFH31;Laparosk proktokolektomi og ileoanal anast uten ileostomi;;
NCSP;JFH33;Proktokolektomi og ileoanal anastomose med bøyleileostomi;;
NCSP;JFH40;Proktokolektomi og kontinent ileostomi;;
NCSP;JFH96;Annen total kolektomi;;
NCSP;JFJ00;Cøkopeksi;;
NCSP;JFJ01;Laparoskopisk cøkopeksi;;
NCSP;JFJ96;Annen enteropeksi eller kolopeksi;;
NCSP;JFJ97;Annen laparoskopisk enteropeksi eller kolopeksi;;
NCSP;JFK00;Deling av adheransestreng ved tarmobstruksjon;;
NCSP;JFK01;Laparoskopisk deling av adheransestreng ved tarmobstruksjon;;
NCSP;JFK10;Adheranseløsning ved tarmobstruksjon;;
NCSP;JFK11;Laparoskopisk adheranseløsning ved tarmobstruksjon;;
NCSP;JFK20;Enterolyse og tynntarmsplikatur;;
NCSP;JFK96;Annen adheranseoperasjon ved tarmobstruksjon;;
NCSP;JFK97;Annen laparoskopisk adheranseoperasjon ved tarmobstruksjon;;
NCSP;JFL00;Åpen desinvaginasjon av tarm;;
NCSP;JFL10;Laparotomi og manipulasjon av obstruert tarm;;
NCSP;JFL11;Laparoskopisk manipulasjon av obstruert tarm;;
NCSP;JFL20;Laparotomi og manipulasjon av fastsittende tarminnhold;;
NCSP;JFL96;Annen op for tarmobstruksjon u/reseksj el adheranseløsning;;
NCSP;JFM00;Peroperativ tarmskylling;;
NCRP;JFQ12A;Perkutan innlegging av stent i colon;;
NCSP;JFW96;Annen tarmoperasjon;;
NCSP;JFW97;Annen laparoskopisk tarmoperasjon;;
NCSP;JFW98;Annet transluminalt endoskopisk tarminngrep;;
NCSP;JFX02;Nedlegging av jejunumsonde;;
NCSP;JFX10;Nedlegging av jejunumsonde gjennom gastrostomi;;
NCSP;JFX20;Peroral tynntarmsbiopsi;;
NCSP;JFX30;Reposisjon av intestinal invaginasjon med bariumklyster;;
NCSP;JGA00;Proktotomi;;
NCSP;JGA02;Endoskopisk fjerning av fremmedlegeme fra rectum;;
NCSP;JGA05;Endoskopisk polypektomi i rectum;;
NCSP;JGA22;Endoskopisk injeksjon i rectum;;
NCSP;JGA25;Endoskopisk dilatasjon av rectum;;
NCSP;JGA28;Endoskopisk kontaktkoagulasjon i rectum;;
NCSP;JGA32;Endoskopisk laserterapi i rectum;;
NCSP;JGA35;Annet endoskopisk hemostaseinngrep i rectum;;
NCSP;JGA52;Annet endoskopisk inngrep med diatermi eller varme i rectum;;
NCSP;JGA58;Endoskopisk innlegging av stent i rectum;;
NCSP;JGA60;Sutur av rectum;;
NCSP;JGA70;Proktotomi og lokal ekstirpasjon i rectum;;
NCSP;JGA73;Transanal lokal ekstirpasjon i rectum;;
NCSP;JGA75;Transanal endoskopisk mikrokirurgi;;
NCSP;JGA76;Transanal rektumreseksjon med sirkulær suturmaskin;;
NCSP;JGA96;Annen proktotomi eller lokalt inngrep på rectum;;
NCSP;JGA97;Annen laparoskopisk proctotomi el lokalt inngrep på rectum;;
NCSP;JGA98;Annet transluminalt endoskopisk lokalt inngrep på rectum;;
NCSP;JGB00;Rektumreseksjon og kolorektal eller koloanal anastomose;;
NCSP;JGB01;Laparoskop rektumreseksj & kolorektal el koloanal anastomose;;
NCSP;JGB03;Rektumreseksjon med partiell eksisjon av mesorektum;;
NCSP;JGB04;Laparosk rektumreseksjon med partiell eksisjon av mesorektum;;
NCSP;JGB06;Rektumreseksjon med total eksisjon av mesorektum;;
NCSP;JGB07;Laparosk rektumreseksjon med total eksisjon av mesorektum;;
NCSP;JGB10;Rektumreseksjon og endekolostomi;;
NCSP;JGB11;Laparoskopisk rektumreseksjon og endekolostomi;;
NCSP;JGB20;Part rectosigmoidekt & abdominoperineal pull-through anast;;
NCSP;JGB30;Abdominoperineal rektumamputasjon;;
NCSP;JGB31;Laparoskopisk og perineal rektumamputasjon;;
NCSP;JGB33;Abdominoperineal rektumamput med intersfinkterisk disseksjon;;
NCSP;JGB34;Laparosk abdperin rektumamput m intersfinkterisk disseksjon;;
NCSP;JGB36;Vid eksisjon av rectum;;
NCSP;JGB40;Proktektomi og endeileostomi;;
NCSP;JGB50;Mukosal proktektomi og ileoanal anastomose;;
NCSP;JGB60;Eksisjon av rectum og ileoanal anastomose;;
NCSP;JGB61;Laparoskopisk eksisjon av rectum og ileoanal anastomose;;
NCSP;JGB96;Annen reseksjon eller amputasjon av rectum;;
NCSP;JGB97;Annen laparoskopisk reseksjon eller amputasjon av rectum;;
NCSP;JGC00;Rektopeksi;;
NCSP;JGC01;Laparoskopisk rektopeksi;;
NCSP;JGC10;Perineal rektopeksi;;
NCSP;JGC20;Transanal sutur;;
NCSP;JGC30;Eksisjon & sutur rektal mucosa m/imbrikasjon av muscularis;;
NCSP;JGC40;Anorektal rekonstruksjon ved analatresi;;
NCSP;JGC96;Annet rekonstruksjonsinngrep på rectum;;
NCSP;JGC97;Annet laparoskopisk rekonstruksjonsinngrep på rectum;;
NCSP;JGD00;Eksisjon av perinealt tumorresidiv;;
NCMP;JGGX05;Antegrad tarmskylling gjennom appendicostomi;;
NCMP;JGGX10;Utprøving og stell/vedlikehold av inkontinenshjelpemiddel;;
NCSP;JGW96;Annen operasjon på rectum;;
NCSP;JGW97;Annen laparoskopisk operasjon på rectum;;
NCSP;JGW98;Annet transluminalt endoskopisk inngrep på rectum;;
NCSP;JGX00;Digital fjerning av fastsittende fæces;;
NCSP;JHA00;Anal eller perianal incisjon;;
NCSP;JHA10;Biopsi i analkanalen;;
NCSP;JHA20;Lokal ekstirpasjon i analkanalen eller perianalt vev;;
NCSP;JHA30;Termisk behandling av lesjon i analkanalen eller perianalt;;
NCSP;JHB00;Hemoroidektomi;;
NCSP;JHB10;Termisk destruksjon av hemoroider eller slimhinneprolaps;;
NCSP;JHB20;Skleroterapi av hemoroider;;
NCSP;JHB30;Gummiringligatur av hemoroider eller slimhinneprolaps;;
NCSP;JHB40;Sirkulær reseksjon og maskinsutur av analslimhinne;;
NCSP;JHB96;Annet inngrep for hemoroider eller slimhinneprolaps;;
NCSP;JHC00;Sutur av analsfinkter;;
