code;text
C05AD03;benzokain                                         
C05AD04;cinkain                                           
C05AD05;prokain                                           
C05AD06;oxetakain                                         
C05AD07;pramokain                                         
C05AE;Muskelrelakserende midler
C05AE01;glyseroltrinitrat                                
C05AE02;isosorbiddinitrat                                 
C05AE03;diltiazem
C05AX;Andre topikale midler for behandling mot hemorrider og analfissurer
C05AX01;aluminium preparater                              
C05AX02;vismutpreparater, kombinasjoner                   
C05AX03;andre kombinasjoner                               
C05AX04;sink preparater                                   
C05AX05;tribenosid                                        
C05B;Varicemidler
C05BA;Hepariner eller heparinoider til topikal bruk       
C05BA01;organo-heparinoid                                 
C05BA02;natriumapolat                                     
C05BA03;heparin                                           
C05BA04;pentosanpolysulfat                                
C05BA51;heparinoid, kombinasjoner                          
C05BA53;heparin, kombinasjoner                            
C05BB;Skleroserende midler til lokal injeksjon          
C05BB01;monoetanolaminoleat                               
C05BB02;polidokanol                                       
C05BB03;invertose                                         
C05BB04;natriumtetradecylsulfat                           
C05BB05;fenol                                             
C05BB56;glukose, kombinasjoner                            
C05BX;Andre skleroserende midler                         
C05BX01;kalsiumdobesilat                                  
C05BX51;kalsiumdobesilat, kombinasjoner                    
C05C;Kapillærstabiliserende midler
C05CA;Bioflavonoider                                    
C05CA01;rutosid                                           
C05CA02;monoxerutin                                       
C05CA03;diosmin                                           
C05CA04;troxerutin                                        
C05CA05;hidrosmin                                         
C05CA51;rutosid, kombinasjoner                            
C05CA53;diosmin, kombinasjoner                            
C05CA54;troxerutin, kombinasjoner                         
C05CX;Andre kapillærstabiliserende midler                
C05CX01;tribenosid                                        
C05CX02;naftazon
C05CX03;Hippocastani semen
C07;Betablokkere
C07A;Betablokkere
C07AA;Betablokkere, ikke-selektive                      
C07AA01;alprenolol                                        
C07AA02;oxprenolol                                        
C07AA03;pindolol                                          
C07AA05;propranolol                                       
C07AA06;timolol                                           
C07AA07;sotalol                                           
C07AA12;nadolol                                           
C07AA14;mepindolol                                        
C07AA15;karteolol                                         
C07AA16;tertatolol                                        
C07AA17;bopindolol                                        
C07AA19;bupranolol                                        
C07AA23;penbutolol                                        
C07AA27;kloranolol                                        
C07AB;Betablokkere, selektive                           
C07AB01;praktolol                                         
C07AB02;metoprolol                                        
C07AB03;atenolol                                          
C07AB04;acebutolol                                        
C07AB05;betaxolol                                         
C07AB06;bevantolol                                        
C07AB07;bisoprolol                                        
C07AB08;celiprolol                                        
C07AB09;esmolol                                           
C07AB10;epanolol                                          
C07AB11;s-atenolol                                        
C07AB12;nebivolol                                         
C07AB13;talinolol                                         
C07AB14;landiolol
C07AG;Alfa- og betablokkere                             
C07AG01;labetalol                                         
C07AG02;karvedilol                                        
C07B;Betablokkere og tiazider
C07BA;Betablokkere, ikke-selektive, og tiazider         
C07BA02;oxprenolol og tiazider                           
C07BA05;propranolol og tiazider                          
C07BA06;timolol og tiazider                              
C07BA07;sotalol og tiazider                              
C07BA12;nadolol og tiazider                              
C07BA68;metipranolol og tiazider, kombinasjoner            
C07BB;Betablokkere, selektive, og tiazider             
C07BB02;metoprolol og tiazider                           
C07BB03;atenolol og tiazider                             
C07BB04;acebutolol og tiazider                           
C07BB06;bevantolol og tiazider                           
C07BB07;bisoprolol og tiazider                           
C07BB12;nebivolol og tiazider
C07BB52;metoprolol og tiazider, kombinasjoner             
C07BG;Alfa- og betablokkere og tiazider                
C07BG01;labetalol og tiazider                            
C07C;Betablokkere og andre diuretika
C07CA;Betablokkere, ikke-selektive, og andre diuretika  
C07CA02;oxprenolol og andre diuretika                     
C07CA03;pindolol og andre diuretika                       
C07CA17;bopindolol og andre diuretika                     
C07CA23;penbutolol og andre diuretika                     
C07CB;Betablokkere, selektive, og andre diuretika       
C07CB02;metoprolol og andre diuretika                     
C07CB03;atenolol og andre diuretika                       
C07CB53;atenolol og andre diuretika, kombinasjoner         
C07CG;Alfa- og betablokkere og andre diuretika          
C07CG01;labetalol og andre diuretika                      
C07D;Betablokkere, tiazider og andre diuretika
C07DA;Betablokker, ikke-selektiv, tiazider andre diuretika
C07DA06;timolol, tiazider og andre diuretika              
C07DB;Betablokkere, selektive, tiazider andre diuretika   
C07DB01;atenolol, tiazider og andre diuretika             
C07E;Betablokkere og vasodilaterende midler
C07EA;Betablokkere, ikke-selektive, og vasodilaterende midler   
C07EB;Betablokkere, selektive, og vasodilaterende midler   
C07F;BETABLOKKERE, ANDRE KOMBINASJONER
C07FB;Betablokkere og kalsiumblokkere
C07FB02;metoprolol og felodipin        
C07FB03;atenolol og nifedipin               
C07FB07;bisoprolol og amlodipin
C07FB12;nebivolol og amlodipin
C07FB13;metoprolol og amlodipin
C07FX;Betablokkere, andre kombinasjoner
C07FX01;propranolol og andre kombinasjoner            
C07FX02;sotalol og acetylsalisylsyre   
C07FX03;metoprolol og acetylsalisylsyre   
C07FX04;bisoprolol og acetylsalisylsyre   
C07FX05;metoprolol og ivabradin
C07FX06;karvedilol og ivabradin
C08;Kalsiumantagonister 
C08C;Selektive kalsiumantagonister med primært vaskulær virkning
C08CA;Dihydropyridinderivater                           
C08CA01;amlodipin                                         
C08CA02;felodipin                                         
C08CA03;isradipin                                         
C08CA04;nikardipin                                        
C08CA05;nifedipin                                         
C08CA06;nimodipin                                         
C08CA07;nisoldipin                                        
C08CA08;nitrendipin                                       
C08CA09;lacidipin                                         
C08CA10;nilvadipin                                        
C08CA11;manidipin                                         
C08CA12;barnidipin                                        
C08CA13;lerkanidipin                                      
C08CA14;cilnidipin                                        
C08CA15;benidipin
C08CA16;klevidipin
C08CA55;nifedipin, kombinasjoner                          
C08CX;Andre selektive kalsiumantagonister med primært vaskulær virkning
C08CX01;mibefradil                                        
C08D;Selektive kalsiumantagonister med direkte virkning på hjertet
C08DA;Fenylalkylaminderivater                           
C08DA01;verapamil                                         
C08DA02;gallopamil                                        
C08DA51;verapamil, kombinasjoner                          
C08DB;Benzotiazepinderivater                            
C08DB01;diltiazem                                         
C08E;Ikke-selektive kalsiumantagonister
C08EA;Fenylalkylaminderivater                           
C08EA01;fendilin                                          
C08EA02;bepridil                                          
C08EX;Andre ikke-selektive kalsiumantagonister          
C08EX01;lidoflazin                                        
C08EX02;perhexilin                                        
C08G;Kalsiumantagonister og diuretika
C08GA;Kalsiumantagonister og diuretika                  
C08GA01;nifedipin og diuretika                            
C08GA02;amlodipin og diuretika
C09;Midler med virkning på renin-angiotensinsystemet
C09A;ACE-hemmere, usammensatte preparater
C09AA;ACE-hemmere, usammensatte preparater
C09AA01;kaptopril                                         
C09AA02;enalapril                                         
C09AA03;lisinopril                                        
C09AA04;perindopril                                       
C09AA05;ramipril                                          
C09AA06;quinapril                                         
C09AA07;benazepril                                        
C09AA08;clazapril                                        
C09AA09;fosinopril                                        
C09AA10;trandolapril                                      
C09AA11;spirapril                                         
C09AA12;delapril                                          
C09AA13;moexipril                                         
C09AA14;temokapril                                        
C09AA15;zofenopril                                        
C09AA16;imidapril                                         
C09B;ACE-hemmere, kombinasjoner
C09BA;ACE-hemmere og diuretika                          
C09BA01;kaptopril og diuretika                            
C09BA02;enalapril og diuretika                            
C09BA03;lisinopril og diuretika                           
C09BA04;perindopril og diuretika                          
C09BA05;ramipril og diuretika                             
C09BA06;quinapril og diuretika                            
C09BA07;benazepril og diuretika                           
C09BA08;cilazapril og diuretika                           
C09BA09;fosinopril og diuretika                           
C09BA12;delapril og diuretika                             
C09BA13;moexipril og diuretika                            
C09BA15;zofenopril og diuretika
C09BB;ACE-hemmere og kalsiumantagonister                
C09BB02;enalapril og lercanidipin
C09BB03;lisinopril og amlodipin
C09BB04;perindopril og amlodipin
C09BB05;ramipril og felodipin
C09BB06;enalapril og nitrendipin
C09BB07;ramipril og amlodipin
C09BB10;trandolapril og verapamil
C09BB12;delapril og manidipin
C09BX;ACE-hemmere, andre kombinasjoner
C09BX01;perindopril, amlodipin og indapamid
C09BX02;perindopril og bisoprolol
C09BX03;ramipril, amlodipin og hydroklortiazid
C09C;Angiotensin II antagonister, usammensatte preparater
C09CA;Angiotensin II antagonister, usammensatte preparater
C09CA01;losartan                                          
C09CA02;eprosartan                                        
C09CA03;valsartan                                         
C09CA04;irbesartan                                        
C09CA05;tasosartan                                        
C09CA06;kandesartan                                       
C09CA07;telmisartan                                       
C09CA08;olmesartan medoxomil
C09CA09;azilsartan medoxomil
C09CA10;fimasartan
C09D;Angiotensin II antagonister, kombinasjoner
C09DA;Angiotensin II antagonister og diuretika          
C09DA01;losartan og diuretika                             
C09DA02;eprosartan og diuretika
C09DA03;valsartan og diuretika                            
C09DA04;irbesartan og diuretika                           
C09DA06;kandesartan og diuretika                          
C09DA07;telmisartan og diuretika
C09DA08;olmesartan medoxomil og diuretika
C09DA09;azilsartan medoxomil og diuretika
C09DA10;fimasartan og diuretika
C09DB;Angiotensin II antagonister og kalsiumantagonister
C09DB01;valsartan og amlodipin
C09DB02;olmesartan medoksomil og amlodipin
C09DB04;telmisartan og amlodipin
C09DB05;irbesartan og amlodipin
C09DB06;losartan og amlodipin
C09DB07;kandesartan og amlodipin
C09DB08;valsartan og lerkanidipin
C09DX;Angiotensin II antagonister, andre kombinasjoner
C09DX01;valsartan, amlodipin og hydroklortiazid
C09DX02;valsartan og aliskiren
C09DX03;olmesartan medoxomil, amlodipin og hydroklortiazid
C09DX04;valsartan og sakubitril
C09X;Andre midler med virkning på renin-angiotensin systemet
C09XA;Reninhemmere                                      
C09XA01;remikiren                                         
C09XA02;aliskiren
C09XA52;aliskiren og hydroklortiazid
C09XA53;aliskiren og amlodipin
C09XA54;aliskiren, amlodipin og hydroklortiazid
C10;Lipidmodifiserende midler
C10A;Lipidmodifiserende midler, usammensatte preparater
C10AA;HMG-CoA-reduktasehemmere                          
C10AA01;simvastatin                                       
C10AA02;lovastatin                                        
C10AA03;pravastatin                                       
C10AA04;fluvastatin                                       
C10AA05;atorvastatin                                      
C10AA06;cerivastatin                                      
C10AA07;rosuvastatin
C10AA08;pitavastatin
C10AB;Fibrater                                          
C10AB01;klofibrat                                         
C10AB02;bezafibrat                                        
C10AB03;aluminiumklofibrat                                
C10AB04;gemfibrozil                                       
C10AB05;fenofibrat                                        
C10AB06;simfibrat                                         
C10AB07;ronifibrat                                        
C10AB08;ciprofibrat                                       
C10AB09;etofibrat                                         
C10AB10;klofibrid                                         
C10AB11;kolinfenofibrat
C10AC;Midler som øker utskillelsen av gallesyre         
C10AC01;kolestyramin                                      
C10AC02;kolestipol                                        
C10AC03;colekstran
C10AC04;kolesevelam
C10AD;Nikotinsyre og derivater                          
C10AD01;nikeritrol                                        
C10AD02;nikotinsyre                                       
C10AD03;nikofuranose                                      
C10AD04;aluminiumnikotinat                                
C10AD05;nikotinylalkohol (pyridylkarbinol)                
C10AD06;acipimox                                          
C10AD52;nikotinsyre, kombinasjoner
C10AX;Andre lipidmodifiserende midler 
C10AX01;dekstrotyroksin                                   
C10AX02;probukol                                          
C10AX03;tiadenol                                          
C10AX05;meglutol                                          
C10AX06;omega-3-triglycerider inkl. andre estere og syrer
C10AX07;magnesium pyridoksal 5-fosfat glutamat            
C10AX08;polikosanol                                       
C10AX09;ezetimib
C10AX10;alipogen tiparvovec
C10AX11;mipomersen
C10AX12;lomitapid
C10AX13;evolokumab
C10AX14;alirokumab
C10B;Lipidmodifiserende midler, kombinasjoner
C10BA;HMG-CoA-reduktasehemmere i kombinasjon med andre lipidmodifiserende midler
C10BA01;lovastatin of nikotinsyre
C10BA02;simvastatin og ezetimib
C10BA03;pravastatin og fenofibrat
C10BA04;simvastatin og fenofibrat
C10BA05;atorvastatin og ezetimib
C10BA06;rosuvastatin og ezetimib
C10BX;HMG-CoA-reduktasehemmere, andre kombinasjoner
C10BX01;simvastatin og acetylsalisylsyre
C10BX02;pravastatin of acetylsalisylsyre
C10BX03;atorvastatin og amlodipin
C10BX04;simvastatin, acetylsalisylsyre og ramipril
C10BX05;rosuvastatin og acetylsalisylsyre
C10BX06;atorvastatin, acetylsalisylsyre og ramipril
C10BX07;rosuvastatin, amlodipin og lisinopril
C10BX08;atorvastatin og acetylsalisylsyre
C10BX09;rosuvastatin og amlodipin
C10BX10;rosuvastatin og valsartan
C10BX11;atorvastatin, amlodipin og perindopril  
C10BX12;atorvastatin, acetylsalisylsyre og perindopril
C10BX13;rosuvastatin, perindopril og  indapamid
C10BX14;rosuvastatin, amlodipin og perindopril
C10BX15;atorvastatin og perindopril
D;Dermatologiske midler                          
D01;Fungicider til dermatologisk bruk
D01A;Fungicider til lokal bruk
D01AA;Antibiotika                                       
D01AA01;nystatin                                          
D01AA02;natamycin                                         
D01AA03;hachimycin                                        
D01AA04;pecilocin                                         
D01AA06;mepartricin                                       
D01AA07;pyrrolnitrin                                      
D01AA08;griseofulvin                                      
D01AA20;kombinasjoner                                     
D01AC;Imidazol- og triazolderivater                     
D01AC01;klotrimazol                                       
D01AC02;mikonazol                                         
D01AC03;ekonazol                                          
D01AC04;klormidazol                                  
D01AC05;isokonazol                                        
D01AC06;tiabendazol                                       
D01AC07;tiokonazol                                        
D01AC08;ketokonazol                                       
D01AC09;sulkonazol                                        
D01AC10;bifonazol                                         
D01AC11;oksykonazol                                       
D01AC12;fentikonazol                                      
D01AC13;omokonazol                                        
D01AC14;sertakonazol                                      
D01AC15;flukonazol                                        
D01AC16;flutrimazol                                       
D01AC17;eberkonazol
D01AC18;lulikonazol
D01AC19;efinakonazol
D01AC20;imidazol/triazolderivater i kombinasjon med kortikosteroider                             
D01AC52;mikonazol, kombinasjoner                           
D01AC60;bifonazol, kombinasjoner                          
D01AE;Andre fungicider til lokal bruk                
D01AE01;bromsalisylkloranilid                             
D01AE02;metylrosanilin                                    
D01AE03;tribrommetakresol                                 
D01AE04;undecylensyre                                     
D01AE05;polynoksylin                                      
D01AE06;2-(4-klorfenoksy)-etanol                          
D01AE07;klorfenesin                                       
D01AE08;tiklaton                                          
D01AE09;sulbentin                                         
D01AE10;etylparaoksybenzoat                               
D01AE11;haloprogin                                        
D01AE12;salisylsyre                                       
D01AE13;selensulfid                                       
D01AE14;ciclopirox                                        
D01AE15;terbinafin                                        
D01AE16;amorolfin                                         
D01AE17;dimazol                                           
D01AE18;tolnaftat                                         
D01AE19;tolciclat                                         
D01AE20;kombinasjoner                                     
D01AE21;flucytosin                                        
D01AE22;naftifin                                          
D01AE23;butenafin
D01AE24;tavaborol
D01AE54;undecylensyre, kombinasjoner
D01B;Fungicider til systemisk bruk
D01BA;Fungicider til systemisk bruk                     
D01BA01;griseofulvin                                      
D01BA02;terbinafin                                        
D02;Bløtgjørende og hudbeskyttende midler
D02A;Bløtgjørende og hudbeskyttende midler 
D02AA;Silikonpreparater                                 
D02AB;Sinkpreparater                                    
D02AC;Vaselin og fettstoffer                            
D02AD;Flytende plaster                                  
D02AE;Karbamidpreparater                                
D02AE01;karbamid                                          
D02AE51;karbamid, kombinasjoner                            
D02AF;Salisylsyrepreparater                             
D02AX;Diverse bløtgjørende og hudbeskyttende midler
D02B;Beskyttelsesmidler ved UV-bestråling
D02BA;Beskyttelsesmidler ved UV-bestråling, lokalt bruk 
D02BA01;aminobenzosyre                                    
D02BA02;oktinoksat
D02BB;Beskyttelsesmidler ved UV-bestråling, systemisk bruk
D02BB01;betakaroten                                       
D02BB02;afamelanotid
D03;Midler til sårbehandling
D03A;Sårhelende midler
D03AA;Transalver                                        
D03AX;Diverse sårhelende midler                          
D03AX01;cadexomerjod                                      
D03AX02;dextranomer                                       
D03AX03;dexpantenol                                       
D03AX04;kalsiumpantotenat                                 
D03AX05;hyaluronsyre                                      
D03AX06;bekaplermin                                       
D03AX09;krilanomer                                        
D03AX10;enoksolon
D03AX11;sodium chorite
D03AX12;trolamin
D03AX13;Betulae cortex
D03B;Enzymer                                           
D03BA;Proteolytiske enzymer                             
D03BA01;trypsin                                           
D03BA02;kollagenase                           
D03BA03;bromelener                                        
D03BA52;kollagenase, kombinasjoner            
D04;Kløemidler, inkl. antihistaminer, anestetika, etc.
D04A;Kløemidler, inkl. antihistaminer, anestetika, etc.
D04AA;Antihistaminer til dermatologisk bruk             
D04AA01;tonzylamin                                        
D04AA02;mepyramin                                         
D04AA03;tenaldin                                          
D04AA04;tripelennamin                                     
D04AA09;klorpyramin                                       
D04AA10;prometazin                                        
D04AA12;tolpropamin                                       
D04AA13;dimetinden                                        
D04AA14;klemastin                                         
D04AA15;bamipin                                           
D04AA16;Feniramin
D04AA22;isotipendyl                                       
D04AA32;difenhydramin                                     
D04AA33;difenhydraminmetylbromid                          
D04AA34;klorfenoksamin                                    
D04AB;Anestetika til dermatologisk bruk                 
D04AB01;lidokain                                          
D04AB02;cincain                                  
D04AB03;oksybuprokain                                     
D04AB04;benzokain                                         
D04AB05;kinisokain                                        
D04AB06;tetrakain                                         
D04AB07;pramokain                                         
D04AX;Andre kløemidler                                  
D05;Antipsoriasismidler    
D05A;Antipsoriasismidler til lokal bruk
D05AA;Tjæreholdige preparater                           
D05AC;Antracenderivater                                 
D05AC01;ditranol                                          
D05AC51;ditranol, kombinasjoner                            
D05AD;Psoralener til lokal bruk                        
D05AD01;trioksysalen                                      
D05AD02;metoksalen                                        
D05AX;Andre psoriasismidler til lokal bruk             
D05AX01;fumarsyre                                         
D05AX02;kalcipotriol                                      
D05AX03;kalcitriol                                        
D05AX04;takalcitol                                        
D05AX05;tazaroten                                         
D05AX52;kalcipotriol, kombinasjoner
D05B;Antipsoriasismidler til systemisk bruk
D05BA;Psoralener til systemisk bruk                     
D05BA01;trioksysalene                                     
D05BA02;metoksalen                                        
D05BA03;bergapten                                         
D05BB;Retinoider til behandling av psoriasis            
D05BB01;etretinat                                         
D05BB02;acitretin                                         
D05BX;Andre antipsoriasismidler til systemisk bruk      
D05BX51;fumarsyrederivater, kombinasjoner
D06;Antibiotika og kjemoterapeutika til dermatologisk bruk
D06A;Antibiotika til lokal bruk
D06AA;Tetracyklin og derivater                          
D06AA01;demetylklortetracyklin                            
D06AA02;klortetracyklin                                   
D06AA03;oksytetracyklin                                   
D06AA04;tetracyklin                                       
D06AX;Andre antibiotika til lokal bruk
D06AX01;fusidinsyre                                       
D06AX02;kloramfenikol                                     
D06AX04;neomycin                                          
D06AX05;bacitracin                                        
D06AX07;gentamycin                                        
D06AX08;tyrotricin                                        
D06AX09;mupirocin                                         
D06AX10;virginiamycin                                     
D06AX11;rifaximin                                         
D06AX12;amikacin                                          
D06AX13;retapamulin
D06AX14;ozenoksacin
D06B;Kjemoterapeutika til topikal bruk
D06BA;Sulfonamider                                      
D06BA01;sølvsulfadiazin                                   
D06BA02;sulfatiazol                                       
D06BA03;mafenid                                           
D06BA04;sulfametizol                                      
D06BA05;sulfanilamid
D06BA06;sulfamerazin
D06BA51;sølvsulfadiazin, kombinasjoner                     
D06BB;Antivirale midler                                  
D06BB01;idoxuridin                                        
D06BB02;tromantadin                                       
D06BB03;aciklovir                                         
D06BB04;podofyllotoksin                                   
D06BB05;inosin                                            
D06BB06;penciklovir                                       
D06BB07;lysozym                                           
D06BB08;ibacitabin                                        
D06BB09;edoxudin                                          
D06BB10;imiquimod
D06BB11;docosanol
D06BB12;sinekatekiner
D06BB53;aciklovir, kombinasjoner
D06BX;Andre kjemoterapeutika                            
D06BX01;metronidazol                                      
D06BX02;ingenolmebutat
D06C;Antibiotika og kjemoterapeutika i kombinasjoner
D07;Kortikosteroider til dermatologisk bruk
D07A;Kortikosteroider, usammensatte preparater
D07AA;Kortikosteroider, milde (gruppe I)                
D07AA01;metylprednisolon                                  
D07AA02;hydrokortison                                     
D07AA03;prednisolon                                       
D07AB;Kortikosteroider, middels sterke (gruppe II)      
D07AB01;clobetason                                        
D07AB02;hydrokortisonbutyrat                              
D07AB03;flumetason                                        
D07AB04;fluokortin                                        
D07AB05;fluperolon                                        
D07AB06;fluorometolon                                     
D07AB07;flupredniden                                      
D07AB08;desonid                                           
D07AB09;triamcinolon                                      
D07AB10;alklometason                                      
D07AB11;hydrokortisonbuteprat                             
D07AB19;dexametason                                       
D07AB21;klokortolon                                       
D07AB30;kombinasjoner av kortikosteroider                 
D07AC;Kortikosteroider, sterke (gruppe III)             
D07AC01;betametason                                       
D07AC02;fluklorolon                                       
D07AC03;desoksymetason                                    
D07AC04;fluocinolonacetonid                               
D07AC05;fluokortolon                                      
D07AC06;diflukortolon                                     
D07AC07;fludroksykortid                                   
D07AC08;fluocinonid                                       
D07AC09;budesonid                                         
D07AC10;diflorason                                        
D07AC11;amcinonid                                         
D07AC12;halometason                                       
D07AC13;mometason                                         
D07AC14;metylprednisolon aceponat                         
D07AC15;beklometason                                      
D07AC16;hydrokortisonaceponat                             
D07AC17;flutikason                                        
D07AC18;prednikarbat                                      
D07AC19;difluprednat                                      
D07AC21;ulobetasol                                        
D07AD;Kortikosteroider, ekstra sterke (gruppe IV)       
D07AD01;klobetasol                                        
D07AD02;halcinonid                                        
D07B;Kortikosteroider, kombinasjoner med antiseptika
D07BA;Kortikosteroider, milde, kombinasjoner med antiseptika    
D07BA01;prednisolon og antiseptika                        
D07BA04;hydrokortison og antiseptika                      
D07BB;Kortikosteroider, middels sterke, kombinasjoner med antiseptika  
D07BB01;flumetason og antiseptika                        
D07BB02;desonid og antiseptika                            
D07BB03;triamcinolon og antiseptika                       
D07BB04;hydrokortisonbutyrat og antiseptika               
D07BC;Kortikosteroider, sterke, kombinasjoner med antiseptika   
D07BC01;betametason og antiseptika                        
D07BC02;fluocinolonacetonid og antiseptika                
D07BC03;fluokortolon og antiseptika                       
D07BC04;diflukortolon og antiseptika                      
D07BD;Kortikosteroider, ekstra sterke, kombinasjoner med antiseptika  
D07C;Kortikosteroider, kombinasjoner med antibiotika
D07CA;Kortikosteroider, milde, kombinasjoner med antibiotika          
D07CA01;hydrokortison og antibiotika                      
D07CA02;metylprednisolon og antibiotika                   
D07CA03;prednisolon og antibiotika                        
D07CB;Kortikosteroider, middels sterke, kombinasjoner med antibiotika 
D07CB01;triamcinolon og antibiotika                       
D07CB02;flupredniden og antibiotika                       
D07CB03;fluorometolon og antibiotika                      
D07CB04;dexametason og antibiotika                        
D07CB05;flumetason og antibiotika                         
D07CC;Kortikosteroider, sterke, kombinasjoner med antibiotika   
D07CC01;betametason og antibiotika                        
D07CC02;fluocinolonacetonid og antibiotika                
D07CC03;fludroksykortid og antibiotika                    
D07CC04;beklometason og antibiotika                       
D07CC05;fluocinonid og antibiotika                        
D07CC06;fluokortolon og antibiotika                       
D07CD;Kortikosteroider, ekstra sterke, kombinasjoner med antibiotika  
D07CD01;klobetasol og antibiotika                         
D07X;Kortikosteroider, andre kombinasjoner
D07XA;Kortikosteroider, milde, andre kombinasjoner      
D07XA01;hydrokortison                                     
D07XA02;prednisolon                                       
D07XB;Kortikosteroider, middels sterke, andre kombinasjoner   
D07XB01;flumetason                                        
D07XB02;triamcinolon                                      
D07XB03;flupredniden                                      
D07XB04;fluorometolon                                     
D07XB05;dexametason                                       
D07XB30;kombinasjoner av kortikosteroider                 
D07XC;Kortikosteroider, sterke, andre kombinasjoner     
D07XC01;betametason                                       
D07XC02;desoksymetason                                    
D07XC03;mometason                                         
D07XC04;diflukortolon                                     
D07XC05;fluokortolon
D07XD;Kortikosteroider, ekstra sterke, andre kombinasjoner      
D08;Antiseptika og desinfiserende midler
D08A;Antiseptika og desinfiserende midler
D08AA;Akridinderivater                                  
D08AA01;etakridinlaktat                                   
D08AA02;aminoakridin                                      
D08AA03;euflavin                                          
D08AB;Aluminiumforbindelser                             
D08AC;Biguanider og amidiner                            
D08AC01;dibrompropamidin                                  
D08AC02;klorheksidin                                      
D08AC03;propamidin                                        
D08AC04;heksamidin                                        
D08AC05;poliheksanid                                      
D08AC52;klorheksidin, kombinasjoner                        
D08AD;Borsyrepreparater                                 
D08AE;Fenol og derivater                                
D08AE01;heksaklorofen                                     
D08AE02;polikresulen                                      
D08AE03;fenol                                             
D08AE04;triklosan                                         
D08AE05;klorxylenol                                       
D08AE06;bifenylol                                         
D08AF;Nitrofuranderivater                               
D08AF01;nitrofural                                        
D08AG;Jodpreparater                                     
D08AG01;jod/oktylfenoksypolyglykoleter                    
D08AG02;povidon, jodert
D08AG03;jod                                               
D08AG04;dijodhydroksypropan                               
D08AH;Kinolinderivater                                  
D08AH01;dekvalon                                          
D08AH02;klorkinaldol                                      
D08AH03;oksykinolin                                       
D08AH30;kliokinol                                         
D08AJ;Kvartære ammoniumforbindelser                     
D08AJ01;benzalkon                                         
D08AJ02;cetrimon                                          
D08AJ03;cetylpyridin                                      
D08AJ04;cetrimid                                          
D08AJ05;benzoksoniumklorid                                
D08AJ06;didecyldimetylammoniumklorid                      
D08AJ08;benzetoniumklorid
D08AJ10;dekametoksin
D08AJ57;oktenidin, kombinasjoner                          
D08AJ58;benzetoniumklorid, kombinasjoner                  
D08AJ59;dodekloniumbromid, kombinasjoner
D08AK;Kvikksølvpreparater                               
D08AK01;merkuriamidoklorid                                
D08AK02;fenylmerkuriborat                                 
D08AK03;kvikksølvklorid                                   
D08AK04;merkurokrom                                       
D08AK05;kvikksølv, metallisk                               
D08AK06;tiomersal                                         
D08AK30;merkurijodid                                      
D08AL;Sølvforbindelser                                  
D08AL01;sølvnitrat                                        
D08AL30;sølv                                              
D08AX;Andre antiseptika og desinfiserende midler                
D08AX01;hydrogenperoksid                                  
D08AX02;eosin                                             
D08AX03;propanol                                          
D08AX04;natriumtosylkloramid                              
D08AX05;isopropanol                                       
D08AX06;kaliumpermanganat                                 
D08AX07;natriumhypokloritt                                
D08AX08;etanol                                            
D08AX53;propanol, kombinasjoner                            
D09;Medisinsk forbindingsmateriale
D09A;Medisinsk forbindingsmateriale
D09AA;Salvekompresser med antiinfektiva                 
D09AA01;framycetin                                        
D09AA02;fusidinsyre                                       
D09AA03;nitrofural                                        
D09AA04;fenylmerkurinitrat                                
D09AA05;benzododecinium                                   
D09AA06;triklosan                                         
D09AA07;cetylpyridin                                      
D09AA08;aluminiumklorhydrat                               
D09AA09;povidon, jodert
D09AA10;kliokinol                                         
D09AA11;benzalkon                                         
D09AA12;klorheksidin                                      
D09AA13;iodoform
D09AB;Sinkbandasjer                                     
D09AB01;sinkbandasjer uten tilsetninger                      
D09AB02;sinkbandasjer med tilsetninger                    
D09AX;Vaselinkompresser                                 
D10;Midler mot akne           
D10A;Midler til lokal behandling av akne
D10AA;Kortikosteroider, sammensatte preparater           
D10AA01;fluorometolon                                     
D10AA02;metylprednisolon                                  
D10AA03;dexametason                                       
D10AB;Svovelholdige preparater                          
D10AB01;bitionol                                          
D10AB02;svovel                                            
D10AB03;tioxolon                                          
D10AB05;mesulfen                                          
D10AD;Retinoider til lokal behandling av akne           
D10AD01;tretinoin                                         
D10AD02;retinol                                           
D10AD03;adapalen                                          
D10AD04;isotretinoin                                      
D10AD05;motretinid                                        
D10AD51;tretinoin, kombinasjoner                           
D10AD53;adapalen, kombinasjoner
D10AD54;isotretinoin, kombinasjoner                       
D10AE;Peroksider                                        
D10AE01;benzoylperoksid                                   
D10AE51;benzoylperoksid, kombinasjoner                     
D10AF;Antiinfektiva til behandling av akne              
D10AF01;kindamycin                                       
D10AF02;erythromycin                                      
D10AF03;kloramfenikol                                     
D10AF04;meklocyklin                                       
D10AF05;nadifloxacin
D10AF06;sulfacetamid
D10AF51;klindamycin, kombinasjoner
D10AF52;erytromycin, kombinasjoner                        
D10AX;Andre midler til lokal behandling av akne         
D10AX01;aluminiumklorid                                   
D10AX02;resorcinol                                        
D10AX03;azelainsyre                                       
D10AX04;aluminiumoksid                                    
D10AX05;dapson
D10AX30;diverse kombinasjoner                             
D10B;Midler til systemisk behandling av akne
D10BA;Retinoider til behandling av akne                 
D10BA01;isotretinoin                                      
D10BX;Andre midler til systemisk behandling av akne     
D10BX01;iktasol                                    
D11;Andre dermatologiske midler
D11A;Andre dermatologiske midler
