table;code;text;level;year;order;valid
atc;G02AC;Ergot alkaloids and oxytocin including analogues;5;2015;491;1
atc;G02AD;Prostaglandins;5;2015;492;0
atc;G02B;Contraceptives for topical use;4;2015;493;1
atc;G02BA;Intrauterine contraceptives;5;2015;494;1
atc;G02BB;Intravaginal contraceptives;5;2015;495;0
atc;G02C;Other gynecologicals;4;2015;496;1
atc;G02CA;Sympathomimetics;5;2015;497;1
atc;G02CB;Prolactin inhibitors;5;2015;498;1
atc;G02CC;Anti-inflammatory products for vaginal administration;5;2015;499;1
atc;G02CX;Other gynecologicals;5;2015;500;0
atc;G03;Sex hormones and modulators of the genital system;3;2015;501;0
atc;G03A;Hormonal contraceptives for systemic use;4;2015;502;1
atc;G03AA;Progestogens and estrogens;5;2015;503;1
atc;G03AB;Progestogens and estrogens;5;2015;504;1
atc;G03AC;Progestogens;5;2015;505;1
atc;G03AD;Emergency contraceptives;5;2015;506;0
atc;G03B;Androgens;4;2015;507;1
atc;G03BA;3-oxoandrosten-(4) derivatives;5;2015;508;1
atc;G03BB;5-androstanon-(3) derivatives;5;2015;509;0
atc;G03C;Estrogens;4;2015;510;1
atc;G03CA;Natural and semisynthetic estrogens;5;2015;511;1
atc;G03CB;Synthetic estrogens;5;2015;512;1
atc;G03CC;Estrogens;5;2015;513;1
atc;G03CX;Other estrogens;5;2015;514;0
atc;G03D;Progestogens;4;2015;515;1
atc;G03DA;Pregnen-(4) derivatives;5;2015;516;1
atc;G03DB;Pregnadien derivatives;5;2015;517;1
atc;G03DC;Estren derivatives;5;2015;518;0
atc;G03E;Androgens and female sex hormones in combination;4;2015;519;1
atc;G03EA;Androgens and estrogens;5;2015;520;1
atc;G03EK;Androgens and female sex hormones in combination with other drugs;5;2015;521;0
atc;G03F;Progestogens and estrogens in combination;4;2015;522;1
atc;G03FA;Progestogens and estrogens;5;2015;523;1
atc;G03FB;Progestogens and estrogens;5;2015;524;0
atc;G03G;Gonadotropins and other ovulation stimulants;4;2015;525;1
atc;G03GA;Gonadotropins;5;2015;526;1
atc;G03GB;Ovulation stimulants;5;2015;527;0
atc;G03H;Antiandrogens;4;2015;528;1
atc;G03HA;Antiandrogens;5;2015;529;1
atc;G03HB;Antiandrogens and estrogens;5;2015;530;0
atc;G03X;Other sex hormones and modulators of the genital system;4;2015;531;0
atc;G04;Urological drugs;3;2015;532;0
atc;G04B;Urologicals;4;2015;533;1
atc;G04BA;Acidifiers;5;2015;534;1
atc;G04BC;Urinary concrement solvents;5;2015;535;1
atc;G04BD;Drugs for urinary frequency and incontinence;5;2015;536;1
atc;G04BE;Drugs used in erectile dysfunction;5;2015;537;1
atc;G04BX;Other urologicals;5;2015;538;0
atc;G04C;Drugs used in benign prostatic hypertrophy;4;2015;539;1
atc;G04CA;Alpha-adrenoreceptor antagonists;5;2015;540;1
atc;G04CB;Testosterone-5-alpha reductase inhibitors;5;2015;541;1
atc;G04CX;Other drugs used in benign prostatic hypertrophy;5;2015;542;0
atc;H;Systemic hormonal preparations;1;2015;543;0
atc;H01;Pituitary and hypothalamic hormones and analogues;3;2015;544;0
atc;H01A;Anterior pituitary lobe hormones and analogues;4;2015;545;1
atc;H01AA;Adrenocorticotropic hormone;5;2015;546;1
atc;H01AB;Thyrotropin;5;2015;547;1
atc;H01AC;Somatropin and somatropin agonists;5;2015;548;1
atc;H01AX;Other anterior pituitary lobe hormones and analogues;5;2015;549;0
atc;H01B;Posterior pituitary lobe hormones;4;2015;550;1
atc;H01BA;Vasopressin and analogues;5;2015;551;1
atc;H01BB;Oxytocin and analogues;5;2015;552;0
atc;H01C;Hypothalamic hormones;4;2015;553;1
atc;H01CA;Gonadotropin-releasing hormones;5;2015;554;1
atc;H01CB;Somatostatin and analogues;5;2015;555;1
atc;H01CC;Anti-gonadotropin-releasing hormones;5;2015;556;0
atc;H02;Corticosteroids systemic;3;2015;557;0
atc;H02A;Corticosteroids for systemic use;4;2015;558;1
atc;H02AA;Mineralocorticoids;5;2015;559;1
atc;H02AB;Glucocorticoids;5;2015;560;1
atc;H02BX;Corticosteroids for systemic use;5;2015;561;0
atc;H03;Thyroid therapy;3;2015;562;0
atc;H03A;Thyroid preparations;4;2015;563;1
atc;H03AA;Thyroid hormones;5;2015;564;0
atc;H03B;Antithyroid preparations;4;2015;565;1
atc;H03BA;Thiouracils;5;2015;566;1
atc;H03BB;Sulphur-containing imidazole derivatives;5;2015;567;1
atc;H03BC;Perchlorates;5;2015;568;1
atc;H03BX;Other antithyroid preparations;5;2015;569;0
atc;H04;Pancreatic hormones;3;2015;570;1
atc;H04AA;Glycogenolytic hormones;5;2015;571;0
atc;H05;Calcium homeostasis;3;2015;572;1
atc;H05AA;Parathyroid hormones and analogues;5;2015;573;0
atc;H05B;Anti-parathyroid agents;4;2015;574;1
atc;H05BA;Calcitonin preparations;5;2015;575;1
atc;H05BX;Other anti-parathyroid agents;5;2015;576;0
atc;J;Antiinfectives for systemic use;1;2015;577;0
atc;J01;Antibacterial drugs;3;2015;578;1
atc;J01AA;Tetracyclines;5;2015;579;1
atc;J01BA;Amphenicols;5;2015;580;0
atc;J01C;Beta lactam antibiotics;4;2015;581;1
atc;J01CA;Penicillins;5;2015;582;1
atc;J01CE;Beta-lactamase sensitive penicillins;5;2015;583;1
atc;J01CF;Beta-lactamase resistant penicillins;5;2015;584;1
atc;J01CG;Beta-lactamase inhibitors;5;2015;585;1
atc;J01CR;Combinations of penicillins;5;2015;586;0
atc;J01D;Other beta-lactam antibacterials;4;2015;587;1
atc;J01DB;First generation cephalosporins list;5;2015;588;1
atc;J01DC;Second generation cephalosporins list;5;2015;589;1
atc;J01DD;Third-generation cephalosporins;5;2015;590;1
atc;J01DE;Fourth-generation cephalosporins;5;2015;591;1
atc;J01DF;Monobactams;5;2015;592;1
atc;J01DH;Carbapenems;5;2015;593;1
atc;J01DI;Other cephalosporins and penems;5;2015;594;0
atc;J01E;Sulfonamides and trimethoprim;4;2015;595;1
atc;J01EA;Trimethoprim and derivatives;5;2015;596;1
atc;J01EB;Short-acting sulfonamides;5;2015;597;1
atc;J01EC;Intermediate-acting sulfonamides;5;2015;598;1
atc;J01ED;Long-acting sulfonamides;5;2015;599;1
atc;J01EE;Combinations of sulfonamides and trimethoprim;5;2015;600;0
atc;J01F;Macrolides;4;2015;601;1
atc;J01FA;Macrolide antibiotics;5;2015;602;1
atc;J01FF;Lincosamide antibiotics;5;2015;603;1
atc;J01FG;Streptogramin antibiotics;5;2015;604;0
atc;J01G;Aminoglycoside antibacterials;4;2015;605;1
atc;J01GA;Streptomycins;5;2015;606;1
atc;J01GB;Other aminoglycosides;5;2015;607;0
atc;J01M;Quinolone antibacterials;4;2015;608;1
atc;J01MA;Fluoroquinolones;5;2015;609;1
atc;J01MB;Other quinolones;5;2015;610;1
atc;J01RA;Combinations of antibacterials;5;2015;611;0
atc;J01X;Other antibacterial drugs;4;2015;612;1
atc;J01XA;Glycopeptide antibacterials;5;2015;613;1
atc;J01XB;Polymyxins;5;2015;614;1
atc;J01XC;Steroid antibacterials;5;2015;615;1
atc;J01XD;Imidazole derivatives;5;2015;616;1
atc;J01XE;Nitrofuran derivatives;5;2015;617;1
atc;J01XX;Other antibacterials;5;2015;618;0
atc;J02;Antimycotic drugs;3;2015;619;0
atc;J02A;Antimycotics for systemic use;4;2015;620;1
atc;J02AA;Antibiotics;5;2015;621;1
atc;J02AB;Imidazole derivatives;5;2015;622;1
atc;J02AC;Triazole derivatives;5;2015;623;1
atc;J02AX;Other antimycotics for systemic use;5;2015;624;0
atc;J04;Antimycobacterials;3;2015;625;0
atc;J04A;Drugs for treatment of tuberculosis;4;2015;626;1
atc;J04AA;Aminosalicylic acid and derivatives;5;2015;627;1
atc;J04AB;Antibiotics;5;2015;628;1
atc;J04AC;Hydrazides;5;2015;629;1
atc;J04AD;Thiocarbamide derivatives;5;2015;630;1
atc;J04AK;Other drugs for treatment of tuberculosis;5;2015;631;1
atc;J04AM;Combinations of drugs for treatment of tuberculosis;5;2015;632;1
atc;J04BA;Drugs for treatment of lepra;5;2015;633;0
atc;J05;Antiviral drugs;3;2015;634;0
atc;J05A;Direct acting antiviral drugs;4;2015;635;1
atc;J05AA;Thiosemicarbazones;5;2015;636;1
atc;J05AB;Nucleosides and nucleotides excluding reverse transcriptase inhibitors;5;2015;637;1
atc;J05AC;Cyclic amines;5;2015;638;1
atc;J05AD;Phosphonic acid derivatives;5;2015;639;1
atc;J05AE;Protease inhibitors;5;2015;640;1
atc;J05AF;Nucleoside and nucleotide reverse transcriptase inhibitors;5;2015;641;1
atc;J05AG;Non-nucleoside reverse transcriptase inhibitors;5;2015;642;1
atc;J05AH;Neuraminidase inhibitors;5;2015;643;1
atc;J05AR;Antivirals for treatment of HIV infections;5;2015;644;1
atc;J05AX;Other antivirals;5;2015;645;0
atc;J06;Immune sera and immunoglobulins;3;2015;646;1
atc;J06AA;Immune sera;5;2015;647;0
atc;J06B;Immunoglobulins;4;2015;648;1
atc;J06BA;Immunoglobulins;5;2015;649;1
atc;J06BB;Specific immunoglobulins;5;2015;650;1
atc;J06BC;Other immunoglobulins;5;2015;651;0
atc;J07;Vaccines;3;2015;652;0
atc;J07A;Bacterial vaccines;4;2015;653;1
atc;J07AC;Anthrax vaccines;5;2015;654;1
atc;J07AD;Brucellosis vaccines;5;2015;655;1
atc;J07AE;Cholera vaccines;5;2015;656;1
atc;J07AF;Diphtheria vaccines;5;2015;657;1
atc;J07AG;Haemophilus influenzae B vaccine;5;2015;658;1
atc;J07AH;Meningococcal vaccines;5;2015;659;1
atc;J07AJ;Pertussis vaccines;5;2015;660;1
atc;J07AK;Plague vaccines;5;2015;661;1
atc;J07AL;Pneumococcal vaccines;5;2015;662;1
atc;J07AM;Tetanus vaccines;5;2015;663;1
atc;J07AN;Tuberculosis vaccines;5;2015;664;1
atc;J07AP;Typhoid vaccines;5;2015;665;1
atc;J07AR;Typhus (exanthematicus) vaccines;5;2015;666;0
atc;J07B;Viral vaccines;4;2015;667;1
atc;J07BA;Encephalitis vaccines;5;2015;668;1
atc;J07BB;Influenza vaccines;5;2015;669;1
atc;J07BC;Hepatitis vaccines;5;2015;670;1
atc;J07BD;Measles vaccines;5;2015;671;1
atc;J07BE;Mumps vaccines;5;2015;672;1
atc;J07BF;Poliomyelitis vaccines;5;2015;673;1
atc;J07BG;Rabies vaccines;5;2015;674;1
atc;J07BH;Rotavirus diarrhea vaccines;5;2015;675;1
atc;J07BJ;Rubella vaccines;5;2015;676;1
atc;J07BK;Varicella zoster vaccines;5;2015;677;1
atc;J07BL;Yellow fever vaccines;5;2015;678;1
atc;J07BM;Papillomavirus vaccines;5;2015;679;1
atc;J07BX;Other viral vaccines;5;2015;680;1
atc;J07CA;Bacterial and viral vaccines;5;2015;681;0
atc;L;Antineoplastic and immunomodulating agents;1;2015;682;0
atc;L01;Antineoplastic drugs;3;2015;683;0
atc;L01A;Alkylating agents list;4;2015;684;1
atc;L01AA;Nitrogen mustard analogues;5;2015;685;1
atc;L01AB;Alkyl sulfonates;5;2015;686;1
atc;L01AC;Ethylene imines;5;2015;687;1
atc;L01AD;Nitrosoureas;5;2015;688;1
atc;L01AG;Epoxides;5;2015;689;1
atc;L01AX;Other alkylating agents;5;2015;690;0
atc;L01B;Antimetabolites;4;2015;691;1
atc;L01BA;Folic acid analogues;5;2015;692;1
atc;L01BB;Purine analogues;5;2015;693;1
atc;L01BC;Pyrimidine analogues;5;2015;694;0
atc;L01C;Plant alkaloids and other natural products;4;2015;695;1
atc;L01CA;Vinca alkaloids and analogues;5;2015;696;1
atc;L01CB;Podophyllotoxin derivatives;5;2015;697;1
atc;L01CC;Colchicine derivatives;5;2015;698;1
atc;L01CD;Taxanes;5;2015;699;1
atc;L01CX;Other plant alkaloids and natural products;5;2015;700;0
atc;L01D;Cytotoxic antibiotics and related substances;4;2015;701;1
atc;L01DA;Actinomycin;5;2015;702;1
atc;L01DB;Anthracyclines and related substances;5;2015;703;1
atc;L01DC;Other cytotoxic antibiotics;5;2015;704;0
atc;L01X;Other antineoplastic agents;4;2015;705;1
atc;L01XA;Platinum compounds;5;2015;706;1
atc;L01XB;Methylhydrazines;5;2015;707;1
atc;L01XC;Monoclonal antibodies;5;2015;708;1
atc;L01XD;Sensitizers used in photodynamic/radiation therapy;5;2015;709;1
atc;L01XE;Protein kinase inhibitors;5;2015;710;1
atc;L01XX;Other antineoplastic agents;5;2015;711;0
atc;L02;Endocrine therapy;3;2015;712;0
atc;L02A;Hormones and related agents;4;2015;713;1
atc;L02AA;Estrogens;5;2015;714;1
atc;L02AB;Progestogens;5;2015;715;1
atc;L02AE;Gonadotropin-releasing hormone analogues;5;2015;716;0
atc;L02B;Hormone antagonists and related agents;4;2015;717;1
atc;L02BA;Anti-estrogens;5;2015;718;1
atc;L02BB;Anti-androgens;5;2015;719;1
atc;L02BG;Aromatase inhibitors;5;2015;720;1
atc;L02BX;Other hormone antagonists and related agents;5;2015;721;0
atc;L03A;Immunostimulants drugs;4;2015;722;1
atc;L03AA;Colony stimulating factors;5;2015;723;1
atc;L03AB;Interferons;5;2015;724;1
atc;L03AC;Interleukins;5;2015;725;1
atc;L03AX;Other immunostimulants;5;2015;726;0
atc;L04A;Immunosuppressants drugs;4;2015;727;1
atc;L04AA;Selective immunosuppressants;5;2015;728;1
atc;L04AB;Tumor necrosis factor alpha (TNF-a) inhibitors;5;2015;729;1
atc;L04AC;Interleukin inhibitors;5;2015;730;1
atc;L04AD;Calcineurin inhibitors;5;2015;731;1
atc;L04AX;Other immunosuppressants;5;2015;732;0
atc;M;Musculoskeletal system;1;2015;733;0
atc;M01;Anti-inflammatory and antirheumatic drugs;3;2015;734;0
atc;M01A;Anti-inflammatory and antirheumatic products;4;2015;735;1
atc;M01AA;Butylpyrazolidines;5;2015;736;1
atc;M01AB;Acetic acid derivatives and related substances;5;2015;737;1
atc;M01AC;Oxicams;5;2015;738;1
atc;M01AE;Propionic acid derivatives;5;2015;739;1
atc;M01AG;Fenamate Drugs;5;2015;740;1
atc;M01AH;Coxibs;5;2015;741;1
atc;M01AX;Other anti-inflammatory and antirheumatic agents;5;2015;742;0
atc;M01B;Anti-inflammatory/antirheumatic agents in combination;4;2015;743;1
atc;M01BA;Anti-inflammatory/antirheumatic agents in combination with corticosteroids;5;2015;744;0
atc;M01C;Specific antirheumatic agents;4;2015;745;1
atc;M01CA;Quinolines;5;2015;746;1
atc;M01CB;Gold preparations;5;2015;747;1
atc;M01CC;Penicillamine and similar agents;5;2015;748;1
atc;M01CX;Other specific antirheumatic agents;5;2015;749;0
atc;M02;Topical products for joint and muscular pain;3;2015;750;0
atc;M02A;Topical products for joint and muscular pain;4;2015;751;1
atc;M02AA;Anti-inflammatory preparations;5;2015;752;1
atc;M02AB;Capsaicin and similar agents;5;2015;753;1
atc;M02AC;Preparations with salicylic acid derivatives;5;2015;754;1
atc;M02AX;Other topical products for joint and muscular pain;5;2015;755;0
atc;M03;Muscle relaxants;3;2015;756;0
atc;M03A;Muscle relaxants;4;2015;757;1
atc;M03AA;Curare alkaloids;5;2015;758;1
atc;M03AB;Choline derivatives;5;2015;759;1
atc;M03AC;Other quaternary ammonium compounds;5;2015;760;1
atc;M03AX;Other muscle relaxants;5;2015;761;0
atc;M03B;Muscle relaxants;4;2015;762;1
atc;M03BA;Carbamic acid esters;5;2015;763;1
atc;M03BB;Oxazol and triazine derivatives;5;2015;764;1
atc;M03BC;Ethers;5;2015;765;1
atc;M03BX;Other centrally acting agents;5;2015;766;0
atc;M03C;Muscle relaxants;4;2015;767;1
atc;M03CA;Dantrolene and derivatives;5;2015;768;0
atc;M04A;Antigout preparations;4;2015;769;1
atc;M04AA;Preparations inhibiting uric acid production;5;2015;770;1
atc;M04AB;Preparations increasing uric acid excretion;5;2015;771;1
atc;M04AC;Preparations with no effect on uric acid metabolism;5;2015;772;1
atc;M04AX;Other antigout preparations;5;2015;773;0
atc;M05B;Drugs affecting bone structure and mineralization;4;2015;774;1
atc;M05BA;Bisphosphonates;5;2015;775;1
atc;M05BB;Bisphosphonates;5;2015;776;1
atc;M05BC;Bone morphogenetic proteins;5;2015;777;1
atc;M05BX;Other drugs affecting bone structure and mineralization;5;2015;778;0
atc;M09A;Other drugs for disorders of the musculo-skeletal system;4;2015;779;1
atc;M09AA;Quinine and derivatives;5;2015;780;1
atc;M09AB;Enzymes;5;2015;781;1
atc;M09AX;Other drugs for disorders of the musculo-skeletal system;5;2015;782;0
atc;N;Nervous system;1;2015;783;0
atc;N01;Anesthetic drugs;3;2015;784;0
atc;N01A;General anesthetics list;4;2015;785;1
atc;N01AA;Ethers;5;2015;786;1
atc;N01AB;Halogenated hydrocarbons;5;2015;787;1
atc;N01AF;Barbiturates;5;2015;788;1
atc;N01AG;Barbiturates in combination with other drugs;5;2015;789;1
atc;N01AH;Opioid anesthetics;5;2015;790;1
atc;N01AX;Other general anesthetics;5;2015;791;0
atc;N01B;Local anesthesia drugs;4;2015;792;1
atc;N01BA;Esters of aminobenzoic acid;5;2015;793;1
atc;N01BB;Amides;5;2015;794;1
atc;N01BC;Esters of benzoic acid;5;2015;795;1
atc;N01BX;Other local anesthesia drugs;5;2015;796;0
atc;N02;Analgesic drugs;3;2015;797;0
atc;N02A;Opioid drugs list;4;2015;798;1
atc;N02AA;Natural opium alkaloids list;5;2015;799;1
atc;N02AB;Phenylpiperidine derivatives;5;2015;800;1
atc;N02AC;Diphenylpropylamine derivatives;5;2015;801;1
atc;N02AD;Benzomorphan derivatives;5;2015;802;1
atc;N02AE;Oripavine derivatives;5;2015;803;1
atc;N02AF;Morphinan derivatives;5;2015;804;1
atc;N02AG;Opioids in combination with antispasmodics;5;2015;805;1
atc;N02AJ;Opioids in combination with non-opioid analgesics;5;2015;806;1
atc;N02AX;Other opioids;5;2015;807;0
atc;N02B;Other analgesics and antipyretics;4;2015;808;1
atc;N02BA;Salicylic acid and derivatives;5;2015;809;1
atc;N02BB;Pyrazolones;5;2015;810;1
atc;N02BE;Anilides;5;2015;811;1
atc;N02BG;Other analgesics and antipyretics;5;2015;812;0
atc;N02C;Migraine medication;4;2015;813;1
atc;N02CA;Ergot alkaloids;5;2015;814;1
atc;N02CB;Corticosteroid derivatives;5;2015;815;1
atc;N02CC;Selective serotonin (5-HT1) agonists;5;2015;816;1
atc;N02CX;Other migraine drugs;5;2015;817;0
atc;N03A;Antiepileptic drugs;4;2015;818;1
atc;N03AA;Barbiturates and derivatives;5;2015;819;1
atc;N03AB;Hydantoin derivatives;5;2015;820;1
atc;N03AC;Oxazolidine derivatives;5;2015;821;1
atc;N03AD;Succinimide derivatives;5;2015;822;1
atc;N03AE;Benzodiazepine derivatives;5;2015;823;1
atc;N03AF;Carboxamide derivatives;5;2015;824;1
atc;N03AG;Fatty acid derivatives;5;2015;825;1
atc;N03AX;Other antiepileptics;5;2015;826;0
atc;N04;Antiparkinson drugs;3;2015;827;0
atc;N04A;Anticholinergic agents for Parkinson;4;2015;828;1
atc;N04AA;Tertiary amines;5;2015;829;1
atc;N04AB;Ethers chemically close to antihistamines;5;2015;830;1
atc;N04AC;Ethers of tropine or tropine derivatives;5;2015;831;0
atc;N04B;Dopaminergic agents;4;2015;832;1
atc;N04BA;Dopa and dopa derivatives;5;2015;833;1
atc;N04BB;Adamantane derivatives;5;2015;834;1
atc;N04BC;Dopamine agonists;5;2015;835;1
atc;N04BD;Monoamine oxidase B inhibitors;5;2015;836;1
atc;N04BX;Other dopaminergic agents;5;2015;837;0
atc;N05;Psycholeptics drugs;3;2015;838;0
atc;N05A;Antipsychotic drugs;4;2015;839;1
atc;N05AA;Phenothiazines with aliphatic side-chain;5;2015;840;1
atc;N05AB;Phenothiazines with piperazine structure;5;2015;841;1
atc;N05AC;Phenothiazines with piperidine structur;5;2015;842;1
atc;N05AD;Butyrophenone derivatives;5;2015;843;1
atc;N05AE;Indole derivatives drugs;5;2015;844;1
atc;N05AF;Thioxanthene derivatives;5;2015;845;1
atc;N05AG;Diphenylbutylpiperidine derivatives;5;2015;846;1
atc;N05AH;Diazepines thiazepines and oxepines;5;2015;847;1
atc;N05AL;Benzamide antipsychotics;5;2015;848;1
atc;N05AN;Lithium;5;2015;849;1
atc;N05AX;Other antipsychotics;5;2015;850;0
atc;N05B;Anxiolytic drugs;4;2015;851;1
atc;N05BA;Benzodiazepine derivatives anxiolytics;5;2015;852;1
atc;N05BB;Diphenylmethane derivatives;5;2015;853;1
atc;N05BC;Carbamates;5;2015;854;1
atc;N05BD;Dibenzo-bicyclo-octadiene derivatives;5;2015;855;1
atc;N05BE;Azaspirodecanedione derivatives;5;2015;856;1
atc;N05BX;Other anxiolytic drugs;5;2015;857;0
atc;N05C;Hypnotics and sedatives drugs;4;2015;858;1
atc;N05CA;Barbiturates;5;2015;859;1
atc;N05CB;Barbiturates;5;2015;860;1
atc;N05CC;Aldehydes and derivatives;5;2015;861;1
atc;N05CD;Benzodiazepine derivatives;5;2015;862;1
atc;N05CE;Piperidinedione drugs;5;2015;863;1
atc;N05CF;Benzodiazepine related drugs;5;2015;864;1
atc;N05CH;Melatonin receptor agonist drugs;5;2015;865;1
atc;N05CM;Other hypnotic and sedative drugs;5;2015;866;1
atc;N05CX;Hypnotics and sedatives in combination;5;2015;867;0
atc;N06;Psychoanaleptics;3;2015;868;0
atc;N06A;Antidepressant drugs;4;2015;869;1
atc;N06AA;Non-selective monoamine reuptake inhibitors;5;2015;870;1
atc;N06AB;Selective Serotonin Reuptake Inhibitors;5;2015;871;1
atc;N06AF;Monoamine oxidase inhibitors;5;2015;872;1
atc;N06AG;Monoamine oxidase A inhibitors;5;2015;873;1
atc;N06AX;Other antidepressant drugs;5;2015;874;0
atc;N06B;Psychostimulants;4;2015;875;1
atc;N06BA;Centrally acting sympathomimetics;5;2015;876;1
atc;N06BC;Xanthine derivatives;5;2015;877;1
atc;N06BX;Other psychostimulants and nootropics;5;2015;878;0
atc;N06C;Psycholeptics and psychoanaleptics in combination;4;2015;879;1
atc;N06CA;Antidepressants in combination with psycholeptics;5;2015;880;0
atc;N06D;Dementia drugs;4;2015;881;1
atc;N06DA;Anticholinesterase drugs;5;2015;882;1
atc;N06DX;Other anti-dementia drugs;5;2015;883;0
atc;N07;Other nervous system drugs;3;2015;884;0
atc;N07A;Parasympathomimetic drugs;4;2015;885;1
atc;N07AA;Anticholinesterase drugs;5;2015;886;1
atc;N07AB;Choline esters;5;2015;887;1
atc;N07AX;Other parasympathomimetics;5;2015;888;0
atc;N07B;Drugs used in addictive disorders;4;2015;889;1
atc;N07BA;Drugs used in nicotine dependence;5;2015;890;1
atc;N07BB;Drugs used in alcohol dependence;5;2015;891;1
atc;N07BC;Drugs used in opioid dependence;5;2015;892;0
atc;N07C;Antivertigo preparations;4;2015;893;1
atc;N07CA;Antivertigo drugs;5;2015;894;1
atc;N07XX;Other nervous system drugs;5;2015;895;0
atc;P;Antiparasitic products;1;2015;896;0
atc;P01;Antiprotozoal drugs;3;2015;897;0
atc;P01A;Agents against amoebiasis and other protozoal diseases;4;2015;898;1
atc;P01AA;Hydroxyquinoline derivatives;5;2015;899;1
atc;P01AB;Nitroimidazole derivatives;5;2015;900;1
atc;P01AC;Dichloroacetamide derivatives;5;2015;901;1
atc;P01AR;Arsenic compounds;5;2015;902;1
atc;P01AX;Other agents against amoebiasis and other protozoal diseases;5;2015;903;0
atc;P01B;Antimalarials;4;2015;904;1
atc;P01BA;Aminoquinolines;5;2015;905;1
atc;P01BB;Biguanides;5;2015;906;1
atc;P01BC;Methanolquinolines;5;2015;907;1
atc;P01BD;Diaminopyrimidines;5;2015;908;1
atc;P01BE;Artemisinin and derivatives;5;2015;909;1
atc;P01BF;Artemisinin and derivatives;5;2015;910;1
atc;P01BX;Other antimalarials;5;2015;911;0
atc;P01C;Agents against leishmaniasis and trypanosomiasis;4;2015;912;1
atc;P01CA;Nitroimidazole derivatives;5;2015;913;1
atc;P01CB;Antimony compounds;5;2015;914;1
atc;P01CC;Nitrofuran derivatives;5;2015;915;1
atc;P01CD;Arsenic compounds;5;2015;916;1
atc;P01CX;Other agents against leishmaniasis and trypanosomiasis;5;2015;917;0
atc;P02;Anthelmintic drugs;3;2015;918;0
atc;P02B;Antitrematodals;4;2015;919;1
atc;P02BA;Quinoline derivatives and related substances;5;2015;920;1
atc;P02BB;Organophosphorous compounds;5;2015;921;1
atc;P02BX;Other antitrematodal agents;5;2015;922;0
atc;P02C;Antinematodal agents;4;2015;923;1
atc;P02CA;Benzimidazole derivatives;5;2015;924;1
atc;P02CB;Piperazine and derivatives;5;2015;925;1
atc;P02CC;Tetrahydropyrimidine derivatives;5;2015;926;1
atc;P02CE;Imidazothiazole derivatives;5;2015;927;1
atc;P02CF;Avermectines;5;2015;928;1
atc;P02CX;Other antinematodals;5;2015;929;0
atc;P02D;Anticestodals;4;2015;930;1
atc;P02DA;Salicylic acid derivatives;5;2015;931;1
atc;P02DX;Other anticestodals;5;2015;932;0
atc;P03;Ectoparasiticides insecticides and repellents;3;2015;933;0
atc;P03A;Ectoparasiticides;4;2015;934;1
atc;P03AA;Sulfur containing products;5;2015;935;1
atc;P03AB;Chlorine containing products;5;2015;936;1
atc;P03AC;Pyrethrines;5;2015;937;1
atc;P03AX;Other ectoparasiticides;5;2015;938;0
atc;P03B;Insecticides and repellents;4;2015;939;1
atc;P03BA;Pyrethrines;5;2015;940;1
atc;P03BX;Other insecticides and repellents;5;2015;941;0
atc;R;Respiratory system;1;2015;942;0
atc;R01;Nasal preparations;3;2015;943;0
atc;R01A;Decongestants and other nasal preparations for topical use;4;2015;944;1
atc;R01AA;Sympathomimetics;5;2015;945;1
atc;R01AB;Sympathomimetics;5;2015;946;1
atc;R01AC;Antiallergic agents;5;2015;947;1
atc;R01AD;Corticosteroids;5;2015;948;1
atc;R01AX;Other nasal preparations;5;2015;949;1
atc;R01BA;Nasal decongestants for systemic use;5;2015;950;0
atc;R02A;Throat drugs;4;2015;951;1
atc;R02AA;Throat antiseptics;5;2015;952;1
atc;R02AB;Throat antibiotics;5;2015;953;1
atc;R02AD;Anesthetics;5;2015;954;1
atc;R02AX;Other throat preparations;5;2015;955;0
atc;R03;Drugs for obstructive airway diseases;3;2015;956;0
atc;R03A;Adrenergics;4;2015;957;1
atc;R03AA;Alpha and beta adrenoreceptor agonists;5;2015;958;1
atc;R03AB;Non-selective beta-adrenoreceptor agonists;5;2015;959;1
atc;R03AC;Selective beta-2-adrenoreceptor agonists;5;2015;960;1
atc;R03AH;Combinations of adrenergics;5;2015;961;1
atc;R03AK;Adrenergics in combination with corticosteroids or other drugs;5;2015;962;1
atc;R03AL;Adrenergics in combination with anticholinergics;5;2015;963;0
atc;R03B;Other drugs for obstructive airway diseases;4;2015;964;1
atc;R03BA;Glucocorticoids;5;2015;965;1
atc;R03BB;Anticholinergics;5;2015;966;1
atc;R03BC;Antiallergic agents;5;2015;967;1
atc;R03BX;Other drugs for obstructive airway diseases;5;2015;968;0
atc;R03C;Adrenergics for systemic use;4;2015;969;1
atc;R03CA;Alpha- and beta-adrenoreceptor agonists;5;2015;970;1
atc;R03CB;Non-selective beta-adrenoreceptor agonists;5;2015;971;1
atc;R03CC;Selective beta-2-adrenoreceptor agonists;5;2015;972;1
atc;R03CK;Adrenergics and other drugs for obstructive airway diseases;5;2015;973;0
atc;R03D;Other systemic drugs for obstructive airway diseases;4;2015;974;1
atc;R03DA;Xanthines;5;2015;975;1
atc;R03DB;Xanthines and adrenergics;5;2015;976;1
atc;R03DC;Leukotriene receptor antagonists;5;2015;977;1
atc;R03DX;Other systemic drugs for obstructive airway diseases;5;2015;978;0
atc;R05;Cough and cold drugs;3;2015;979;0
atc;R05C;Expectorants;4;2015;980;1
